"Promo SKU","Promo SKU"
"Promo Categories","Promo Categories"
"Discount Amount (in %)","Discount Amount (in %)"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Buy N Products","Buy N Products"
"Number of Products with Discount","Number of Products with Discount"
"Each N-th","Each N-th"
"Discount Amount","Discount Amount"
"Each Product (step)","Each Product (step)"
"Number of X Products","Number of X Products"
"Define X product (leave blank for any product)","Define X product (leave blank for any product)"
"Max Number of Sets Discount is Applied To","Max Number of Sets Discount is Applied To"
"Define Product Set","Define Product Set"
"Set Items by SKU","Set Items by SKU"
"Set Items by Category IDs","Set Items by Category IDs"
"Number Of Gift Items","Number Of Gift Items"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly </br>","Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly </br>"
"WARNING: 'Product set' rules always have the highest prioity. If you have many rules and they work simultaneously, 'Product set' rule is applied before any other one. If you have multiple 'Product set' rules, they will be applied according to their priorities (still before all the other types of rules).","WARNING: 'Product set' rules always have the highest prioity. If you have many rules and they work simultaneously, 'Product set' rule is applied before any other one. If you have multiple 'Product set' rules, they will be applied according to their priorities (still before all the other types of rules)."
"Please see ","Please see "
"usage example","usage example"
"Special Promotions","Special Promotions"
Information,Information
General,General
"Check Special Options Values","Check Special Options Values"
"Skip Settings","Skip Settings"
"Skip options are available for Amasty actions only.","Skip options are available for Amasty actions only."
"Skip Items with Special Price","Skip Items with Special Price"
"Skip Items with Tier Price","Skip Items with Tier Price"
"Skip Configurable Items when Child has Special Price","Skip Configurable Items when Child has Special Price"
"Discount Breakdown","Discount Breakdown"
"Show Discount Breakdown","Show Discount Breakdown"
Debug,Debug
"Enable Debug Mode","Enable Debug Mode"
"Show Debug Information Only For","Show Debug Information Only For"
"Comma separated IP addresses","Comma separated IP addresses"
"Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly","Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly"
"Max Amount of Discount","Max Amount of Discount"
"After N","After N"
"For the rule `Buy 2X, get 5Y` it is 2","For the rule `Buy 2X, get 5Y` it is 2"
"Number of Y Products","Number of Y Products"
"For the rule `Buy 2X, get 5Y` it is 5","For the rule `Buy 2X, get 5Y` it is 5"
"At first apply discount to","At first apply discount to"
"Cheapest products","Cheapest products"
"Most expensive products","Most expensive products"
"Use For","Use For"
"All Products in Shopping Cart","All Products in Shopping Cart"
"The Same Product in Shopping Cart","The Same Product in Shopping Cart"
"Calculate Discount Based On","Calculate Discount Based On"
"Price (Special Price if Set)","Price (Special Price if Set)"
"Price After Previous Discount(s)","Price After Previous Discount(s)"
"Original Price","Original Price"
"As Default","As Default"
Yes,Yes
No,No
"Skip If Discounted","Skip If Discounted"
"Comma separated list of the SKUs. Simple products supported only.","Comma separated list of the SKUs. Simple products supported only."
"To make up a product set, items with these SKUs must be added to the cart","To make up a product set, items with these SKUs must be added to the cart"
"Comma separated list of the category ids","Comma separated list of the category ids"
"To make up a product set, items from these categories must be added to the cart. If you have two or more products from the same category, the cheapest is considered as item of the product set.","To make up a product set, items from these categories must be added to the cart. If you have two or more products from the same category, the cheapest is considered as item of the product set."
"To make up a product set, items from these categories must be added to the cart","To make up a product set, items from these categories must be added to the cart"
