"We can't find brand matching the selection.","Chúng tôi không thể tìm thấy các thương hiệu phù hợp với lựa chọn."
"Brand Group","Nhóm Thương Hiệu"
"Brands: ","Thương hiệu: "
"Search Brand","Tìm kiếm thương hiệu"
"Search brands here…","Tìm kiếm thương hiệu tại đây..."
"Items","Sản phẩm"
"of","của"
"%1 Item","%1 sản phẩm"
"%1 Items","%1 sản phẩm"
"%1 item","%1 sản phẩm"
"%1 items","%1 sản phẩm"
"My Cart","Giỏ hàng của tôi"
"Close","Đóng"
"item","sản phẩm"
"items","sản phẩm"
"Your Product","Sản phẩm của bạn"
"Price","Giá"
"Price: ","Giá: "
"Recently added item(s)","Sản phẩm đã thêm gần đây"
"You have no items in your shopping cart.","Bạn không có sản phẩm nào trong giỏ hàng."
"View cart","Xem giỏ hàng"
"View Cart","Xem giỏ hàng"
"Shop now","Mua ngay"
"My account","Tài khoản"
"My Account","Tài khoản"
"Product Description","Mô Tả Sản Phẩm"
"Product Specs","Thông Số Kỹ Thuật"
"Stored Payment Methods","Phương thức Thanh toán"
"You aren't subscribed to our newsletter.","Bạn chưa đăng ký nhận bản tin."
"Load more", "Tải thêm"
"All ready","Tất cả"
"Continue Shopping","Tiếp tục mua sắm"
"Proceed to Checkout","Tiến hành đặt hàng"
"Price: Contact","Giá: Liên hệ"
"Email/Telephone","Email/Số ĐT"
"Checkout","Mua hàng"
"Your order number is:","Mã đơn hàng của bạn:"
"Your order # is:","Mã đơn hàng của bạn:"
"Order details:","Chi tiết Đơn hàng:"
"Order details","Chi tiết Đơn hàng"
"Order Date:","Ngày Đặt hàng:"
"Comments","Bình luận"
"Reorder","Đặt hàng lại",module,Magento_Sales
"Order Total","Tổng tiền",module,Magento_CompanyCredit
"Order Total","Tổng tiền",module,Magento_Customer
"Order Total","Tổng tiền",module,Magento_Paypal
"Order Total","Tổng tiền",module,Magento_Reports
"Order Total","Tổng tiền",module,Magento_Sales
"Order Total","Tổng tiền",module,Magento_Shipping
"Order Total Excl. Tax","Tổng tiền ĐH chưa bao gồm thuế",module,Magento_Tax
"Order Total Incl. Tax","Tổng tiền ĐH đã bao gồm thuế",module,Magento_Tax
"Order Total","Tổng tiền",module,Magento_Tax
"Items Ordered","Sản phẩm được yêu cầu",module,Magento_Sales
"City","TP/Quận/Huyện",module,Magento_Braintree
"State/Province","Tỉnh/TP",module,Magento_Braintree
"City","TP/Quận/Huyện",module,Magento_Company
"State/Province","Tỉnh/TP",module,Magento_Company
"City","TP/Quận/Huyện",module,Magento_Customer
"State/Province","Tỉnh/TP",module,Magento_Customer
"City","TP/Quận/Huyện",module,Magento_CustomerCustomAttributes
"State/Province","Tỉnh/TP",module,Magento_CustomerCustomAttributes
"State/Province","Tỉnh/TP",module,Magento_CustomerSegment
"State/Province","Tỉnh/TP",module,Magento_Directory
"State/Province","Tỉnh/TP",module,Magento_GiftRegistry
"City","TP/Quận/Huyện",module,Magento_Rma
"State/Province","Tỉnh/TP",module,Magento_Rma
"State/Province","Tỉnh/TP",module,Magento_Sales
"State/Province","Tỉnh/TP",module,Magento_SharedCatalog
"Enter your destination to get a shipping estimate.","Nhập địa điểm để xem phí vận chuyển."
"Free gift <strong>%1</strong> was added to your shopping cart","Quà tặng <strong>%1</strong> đã thêm vào giỏ hàng"
"Free gift %1 was added to your shopping cart","Quà tặng %1 đã thêm vào giỏ hàng"
"Our hours are <span class=""no-link"">%store_hours</span>.","Giờ làm việc của chúng tôi <span class=""no-link"">%store_hours</span>.",module,Magento_Sales
"More Information","Thông số kỹ thuật",module,Magento_Catalog
"Be the first to review this product","Đánh giá sản phẩm",module,Magento_Review
"Reviews","Đánh giá",module,Magento_Reports
"Reviews %1","Đánh giá %1",module,Magento_Review
"Reviews","Đánh giá",module,Magento_Review
"My Wish Lists","Danh sách yêu thích",module,Magento_MultipleWishlist
"My Wish List","Danh sách yêu thích",module,Magento_Wishlist
"Apply Discount","Áp dụng",module,Magento_Checkout
"For delivery questions.","Liên lạc khi giao hàng.",module,Magento_Checkout
"Similar Products","Có thể bạn quan tâm"
"Loyalty Program","Chương trình Khách hàng Thân thiết"
"You are with us for <b>%1</b> days","Tài khoản của bạn đã kích hoạt <b>%1</b> ngày"
"You are with us for <b>%1</b> day","Tài khoản của bạn đã kích hoạt <b>%1</b> ngày"
Total:,"Tổng:"
"Number of completed orders is <b>%1</b>","Số Đơn hàng hoàn thành <b>%1</b>"
"Average order value is <b>%1</b>","Giá trị Đơn hàng bình quân <b>%1</b>"
"Order amount is <b>%1</b>","Giá trị Đơn hàng <b>%1</b>"
"This Month:","Tháng này:"
"Last Month:","Tháng trước:"
"Number of completed orders was <b>%1</b>","Số Đơn hàng hoàn thành trước đó <b>%1</b>"
"Average order value was <b>%1</b>","Giá trị Đơn hàng bình quân trước đó <b>%1</b>"
"Order amount was <b>%1</b>","Giá trị Đơn hàng trước đó <b>%1</b>"
"Tags","Tags",module,Magento_Backend
"Categories","Chuyên Mục",module,Mageplaza_Blog
"Topics","Chủ Đề",module,Mageplaza_Blog
"Popular","Tin Tức Phổ Biến",module,Mageplaza_Blog
"Latest","Tin Tức Mới Nhất",module,Mageplaza_Blog
"Compare","So sánh",module,Magento_Catalog
"Home","Trang chủ"
"Cart Product Rules","Khuyến mãi",module,Magento_Catalog
"Related Post","Tin tức liên quan"
"You have no items to compare.","Hãy lựa chọn những sản phẩm bạn cần so sánh giá.",module,Magento_Catalog
"Customer Reviews", "Nhận xét của khách hàng",module,Magento_Review
"You're reviewing:", "Chia sẻ đánh giá của bạn:",module,Magento_Review
"Your Rating", "Đánh giá của bạn:",module,Magento_Review
"Nickname","Nhập tên của bạn",module,Magento_Review
"Your Review","Nhập nội dung đánh giá, nhận xét của bạn tại đây",module,Magento_Review
"Content Review","Nội dung đánh giá:",module,Magento_Review
"Submit Review","Gửi đánh giá",module,Magento_Review
"Model: ","Model: ",module,Magento_Catalog
"Summary Review","Nhập tiêu đề",module,Magento_Review
"Input Order Information","Quý khách vui lòng nhập thông tin đơn hàng"
"Telephone","Số điện thoại"
"Check information", "Kiểm tra"
"Note: Enter the phone number in the delivery information of the order", "Lưu ý: Nhập số điện thoại trong thông tin khách hàng của đơn hàng"
"ID Order", "Mã đơn hàng"
"Input Telephone", "Nhập số điện thoại"
"Input ID Order","Nhập mã đơn hàng"
"AVG Summary Review","Đánh giá trung bình",module,Magento_Review
"Please select a region, state or province.","--Tỉnh/TPTW--",module,Magento_Customer
"Hi", "Chào"
"Male", "Nam"
"Female", "Nữ"
"About the Author","Thông tin về các Tác giả"
"Document", "Tài liệu"
"In stock with static text", "Còn hàng"
"Availability", "Có sẵn"
"UnAvailability", "Không còn hàng"
"Login customer","Khách hàng đăng nhập"
"Logout customer","Bạn đã đăng xuất"
"Order detail","Chi tiết đơn hàng"
"Info account","Thông tin tài khoản"
"Out of stock", "Tạm hết hàng"
"Availability", "Hàng còn trong kho"
"UnAvailability", "Trong kho tạm hết mặt hàng này"
"Include VAT", "(đã bao gồm VAT)"
"Post new","Tin mới nhất"
"or Sign up with","Hoặc Đăng ký bằng"
"Sign up with %1","Đăng ký với %1"
"Have an account already?","Bạn đã là Thành viên?<br/>Vui lòng"
"Sign in","Đăng nhập"
"Phone Number","Số điện thoại"
"Email Address or Phone Number","Địa chỉ Email hoặc Số điện thoại"
"Email or Phone","Email hoặc Số điện thoại"
"Email (optional)","Email (không bắt buộc)"
"If you have an account, sign in with your phone number.","Khách hàng đã tạo tài khoản, vui lòng đăng nhập bằng Số điện thoại."
"A customer with the same phone number already exists in an associated website.","Số điện thoại đã được đăng ký trên hệ thống."
"Password","Mật khẩu"
"Login","Đăng nhập"
"Confirm Password","Nhập lại mật khẩu"
"Lastname","Họ"
"Firstname","Họ và tên"
"Input First name","Nhập họ và tên"
"Input Last name","Nhập Họ và chữ đệm"
"Input Phone number","Nhập số điện thoại"
"Cart","Giỏ hàng"
"Success order","Đặt hàng thành công"
"Subscribe now to receive promotions, new products quickly and accurately","Đăng ký theo dõi ngay để nhận được thông tin khuyến mãi, sản phẩm mới một cách nhanh chóng và chính xác nhất"
"Social network","Mạng xã hội:"
"Search Brand Result","Tìm kiếm kết quả thương hiệu"
"Invalid login or password.","Số điện thoại hoặc mật khẩu không hợp lệ."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.", "Vui lòng nhập 6 ký tự trở lên."
"Please enter at least {0} characters.", "Vui lòng nhập ít nhất {0} ký tự."
"Please enter no more than {0} characters.", "Vui lòng nhập không quá {0} ký tự."
"You are subscribed to General Subscription.", "Bạn đã đăng ký Nhận bản tin"
"We have saved your subscription.", "Cảm ơn bạn đã đăng ký Nhận bản tin."
"Please enter the same value again.", "Mật khẩu không trùng khớp."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Độ dài tối thiểu của trường này phải bằng hoặc lớn hơn %1 ký tự. Những ký tự trống ở đầu tiên và dấu sẽ được bỏ qua."
"We have removed your newsletter subscription.", "Chúng tôi đã xóa Nhận đăng ký bản tin của bạn."
"Error occurred. Try to refresh page.", "Đã xảy ra lỗi. Vui lòng tải lại trang."
"Please enter a valid email address (Ex: johndoe@domain.com).","Vui lòng nhập một địa chỉ email hợp lệ."
"You have submitted no reviews.", "Bạn chưa thực hiện đánh giá nào."
"Please enter a valid phone number. For example 0899002022.", "Vui lòng nhập số điện thoại di động hợp lệ."
"Please enter a valid zip code (Ex: 700000).", "Vui lòng nhập mã bưu chính hợp lệ."
"Customer Level","Phân hạng"
"customer_level","Phân hạng"
"level_member","Thành viên",module,Chottvn_CustomerMembership
"level_basic","Khách hàng",module,Chottvn_CustomerMembership
"level_bronze","Hạng Đồng",module,Chottvn_CustomerMembership
"level_silver","Hạng Bạc",module,Chottvn_CustomerMembership
"level_gold","Hạng Vàng",module,Chottvn_CustomerMembership
"level_platinum","Hạng Bạch Kim",module,Chottvn_CustomerMembership
"Tracking","Theo dõi",module,Chottvn_Frontend
"Order","Đơn hàng",module,Chottvn_Frontend
"Sign in","Đăng nhập",module,Chottvn_Frontend
"Sign in / Sign up","Đăng nhập",module,Chottvn_Frontend
"Sign in with Facebook","Đăng nhập với Facebook",module,Chottvn_Frontend
"Sign in with Google","Đăng nhập với Google",module,Chottvn_Frontend
"Sign up","Đăng ký",module,Chottvn_Frontend
"Sign out","Thoát Tài khoản",module,Chottvn_Frontend
"Hello %1","Chào %1",module,Chottvn_Frontend
"Account","Tài khoản",module,Chottvn_Frontend
"My Account","Tài khoản của tôi",module,Chottvn_Frontend
"My Orders","Đơn hàng của tôi",module,Chottvn_Frontend
"My Wishlists","Sản phẩm yêu thích",module,Chottvn_Frontend
"My Product Reviews","Đánh giá sản phẩm",module,Chottvn_Frontend
"It's a default billing/shipping address.", "Đó là địa chỉ thanh toán/vận chuyển mặc định"
"Create New Account","Đăng ký tài khoản mới"
"Shipping Contact Later","Liên hệ sau"
"Free Shipping","Miễn phí"
"A customer with the same email address already exists in an associated website.", "Email đã được đăng ký trên hệ thống."
"Change Password", "Đổi mật khẩu"
"New Password", "Mật khẩu mới"
"Password Strength", "Độ mạnh mật khẩu"
"No Password","Không có mật khẩu"
"Confirm New Password","Nhập lại mật khẩu"
"Current Password","Mật khẩu cũ"
"Send your comments","Chúng tôi có thể hỗ trợ gì cho bạn?"
"Name","Họ Tên"
"Your Name*","Nhập Họ tên"
"Your Email*","Nhập Email"
"Email","Email"
"Your Phone","Nhập số điện thoại"
"Your Message*","Nhập Nội dung bạn cần liên hệ với chúng tôi"
"Your Message","Nội dung"
"Send Message","Gửi"
"Township","Phường/Xã"
"Company","Công ty"
"Order tracking", "Theo dõi Đơn hàng"
"Salient Features", "Đặc điểm nổi bật"
"Registered Customers", "Khách hàng đã đăng ký"
"Forgot Your Password?", "Bạn quên mật khẩu?"
"New Customers", "Khách hàng mới"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.", "Tạo một tài khoản có nhiều lợi ích: mua hàng nhanh hơn, có nhiều hơn một địa chỉ, theo dõi các đơn đặt hàng và nhiều hơn nữa."
"Or Sign In With","Hoặc Đăng nhập bằng"
"Now Shopping by", "Đang chọn sản phẩm theo"
"Shopping Options", "Chọn lọc sản phẩm"
"Related Posts","Bản tin cùng chuyên mục"
"Blog","Tin tức"
"Categories: %1","Chuyên mục: %1"
"Tags: %1","Thẻ: %1"
"By: %1","Theo: %1"
"Modify By: %1 at %2":"Cập nhật: %1 ngày %2"
"Read More","Xem thêm"
"Additional Information","Thông tin thêm"
"Additional Information:","Thông tin thêm:"
"Additional Info","Thông tin thêm"
"There are no posts at this moment","Không có bài viết tại thời điểm này"
"First Name","Họ tên",module,Magento_Checkout
"State/Province","Tỉnh/Thành phố",module,Magento_Checkout
"Street Address","Địa chỉ giao hàng",module,Magento_Checkout
"City","Quận/Huyện",module,Magento_Checkout
"Township","Phường/Xã",module,Magento_Checkout
"Cart Subtotal","Tổng tiền hàng",module,Magento_Checkout
"Order Total","Tổng cộng",module,Magento_Checkout
"Ship here","Gửi đến địa chỉ này"
"Shipping","Phí giao hàng"
"Order Comment","Ghi chú"
"The requested qty is not available","Số lượng yêu cầu không có sẵn"
"Sign In","Đăng nhập",module,Mageplaza_SocialLogin
"Please type the letters and numbers below","Vui lòng nhập mã bên dưới",module,Mageplaza_SocialLogin
"Personal Information","Thông tin của bạn",module,Mageplaza_SocialLogin
"Create New Account?","Tạo tài khoản mới?",module,Mageplaza_SocialLogin
"Sign up for an Account","Đăng ký Tài khoản"
"Re-issue Password","Cấp lại Mật khẩu"
"Thank you for contacting Online Marketplace","Cảm ơn bạn đã liên hệ chotructuyen.co"
"The coupon code isn't valid. Verify the code and try again","Mã phiếu giảm giá không hợp lệ. Xác minh mã và thử lại"
"You have placed no orders.","Bạn chưa có đơn hàng."
"You have placed no finding orders.","Không tìm thấy đơn hàng phù hợp."
"Change Shipping Address","Thay đổi địa chỉ giao hàng"
"Additional Address Entries", "THÊM ĐỊA CHỈ"
"Please send me the newsletter of Cho Truc Tuyen", "Vui lòng gửi cho tôi bản tin của chotructuyen.co"
"You have subscribed to the newsletter from the Cho Truc Tuyen", "Bạn đã đăng ký nhận bản tin từ chotructuyen.co"
"You are not subscribed to our newsletter of Cho Truc Tuyen.","Bạn chưa đăng ký nhận bản tin của chotructuyen.co."
"Continue shopping","Tiếp tục mua sắm"
"Save", "Lưu"
"Go back", "Trở lại"
"Input Email (optional)","Nhập Email (không bắt buộc)"
"Input Confirm New Password","Nhập mật khẩu mới phải có ký tự và số, chiều dài từ 6 đến 32 ký tự"
"Input Current Password","Nhập mật khẩu cũ"
"Input New Password", "Nhập mật khẩu mới phải có ký tự và số, chiều dài từ 6 đến 32 ký tự"
"Input Company","Nhập Tên Công ty"
"Input Delivery Address","Nhập địa chỉ giao hàng"
"Please Input Number Address, Street","Nhập số nhà, đường"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Thông báo đã gửi một liên kết đến hộp thư của khách hàng, kiểm tra hộp thư để nhận mật khẩu mới",module,Magento_Customer
"Show play icon","Hiển thị play icon"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Have %1 reviews","Có %1 đánh giá",module,Magento_Review
"Please select a region, state or province.","--Chọn Tỉnh/Thành Phố--"
"Please select a city.","--Chọn Quận/Huyện--"
"Please select a township.","--Chọn Phường/Xã--"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Cảm ơn bạn đã liên hệ chotructuyen.co. Chúng tôi sẽ sớm trả lời bạn.",module,Magento_Contact
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Đăng nhập tài khoản không chính xác hoặc tài khoản của bạn tạm thời bị vô hiệu hóa. Vui lòng đợi và thử lại sau."
"Status:","Trạng thái:"
"Invoice details","Chi tiết Hoá đơn"
"Input Email","Nhập email"
"Input type the letters and numbers below","Nhập các chữ cái và số bên dưới"
"Input new Password","Nhập mật khẩu mới"
"Input confirm New Password","Nhập Xác nhập mật khẩi mới"
"Are you sure you would like to remove this item from the shopping cart?", "Bạn có chắc chắn muốn loại bỏ mặt hàng này khỏi giỏ hàng?"
"Delete","Xóa"
"Only members who have purchased product %1 can evaluate this product.", "Chỉ có những thành viên đã mua sản phẩm %1 thì mới có thể đánh giá sản phẩm này."
"Input", "Nhập"
"(optional)", "(không bắt buộc)"
"Enter the house number, street...", "Nhập số nhà, đường"
"Pls Shipping address","Địa chỉ giao hàng"
"Request an invoice","Yêu cầu xuất hóa đơn"
"Warranty information","Thông tin bảo hành"
"Bank transfer","Ngân hàng chuyển khoản"
"Order notes","Ghi chú đơn hàng"
"account_owner","Tên Tài khoản"
"account_number","Số Tài khoản"
"Your %store_name order #%increment_id confirmation!","Xác nhận đơn hàng #%increment_id tại %store_name!",module,Magento_Sales
"Your %store_name order #%increment_id being delivered!","Đơn hàng #%increment_id tại %store_name đang được giao!",module,Magento_Sales
"Your %store_name order #%increment_id has been successfully delivered!","Đơn hàng #%increment_id tại %store_name đã được giao thành công!",module,Magento_Sales
"Your %store_name order #%increment_id - Shipment Update","Đơn hàng #%increment_id của bạn tại %store_name - Thay đổi thông tin vận chuyển",module,Magento_Sales
"Your %store_name order #%increment_id - Invoice Update","Đơn hàng #%increment_id của bạn tại %store_name - Thay đổi thông tin thanh toán",module,Magento_Sales
"Processing","đang được giao!",module,Magento_Sales
"Packaging","đang được giao!",module,Magento_Sales
"Delivery","đang được giao!",module,Magento_Sales
"Complete","đã được giao thành công!",module,Magento_Sales
"Canceled","đã hủy bỏ!",module,Magento_Sales
"Your %store_name order #%increment_id %frontend_label","Đơn hàng #%increment_id tại %store_name %frontend_label",module,Magento_Sales
"We received too many requests for password resets. Please wait and try again later or contact %1.","Chúng tôi đã nhận được quá nhiều yêu cầu đặt lại mật khẩu. Vui lòng đợi và thử lại sau hoặc liên hệ %1"
"Order Shipments","Vận đơn"
"We will send confirmation of your order here.", "Chúng tôi sẽ gửi xác nhận đặt hàng của bạn ở đây."
"Please enter your full name.", "Vui lòng nhập Họ tên."
"Please enter the phone number.", "Vui lòng nhập Số điện thoại."
"Please enter a new Password.", "Vui lòng nhập Mật khẩu mới."
"Please enter New Password Confirmation.", "Vui lòng nhập Xác nhận Mật khẩu Mới."
"Please enter the current Password.", "Vui lòng nhập Mật khẩu hiện tại."
"Input Township", "Nhập Quận/Huyện"
"Input City", "Nhập Phường/Xã"
"Prefix", "Xưng hô"
"Others receive the products", "Người khác nhận hàng"
"Contact Information","Tài khoản"
"Sort By:":"Sắp xếp theo:"
"Guarantee information","Bảo hành"
"*: Information required to enter","*: Thông tin yêu cầu nhập"
"Order Collaborato","Cộng tác viên"
"Shipping & Handling","Phí giao hàng"
"Grand Total","Tổng cộng"
"Subtotal","Thành tiền"
"Total(temp)","Tạm tính"
"Grand Total(temp)","Tạm tính"
"Price Contact","Liên hệ"
"Grand Total Temp","Tạm tính"
"You have selected a sufficient number of (%1) products to compare","Bạn đã chọn đủ số lượng (%1) sản phẩm cần so sánh"
"%1 is already on the compare list","Sản phẩm %1 đã có trong danh sách cần so sánh"
"Please choose to compare products in the same category","Quý khách vui lòng chọn so sánh các sản phẩm cùng ngành hàng"
"Hide","Ẩn"
"+ Compare more products","Thêm sản phẩm so sánh +"
"Please enter a valid fax number (Ex: 1234567890 or 1234567890-123).", "Vui lòng nhập Mã số thuế hợp lệ."
"Customer Info", "Thông tin khách hàng"
"Category","Phân nhóm",module,Magento_LayeredNavigation
"Primary Category","Ngành hàng",module,Magento_LayeredNavigation
"Max Delivery Dates ","Ngày giao hàng dự kiến: "
"Date","Ngày"
"View all","Xem tất cả"
"There is %1 reviewer","(có %1 lượt đánh giá)"
"There is %1 review","Có %1 đánh giá"
"Sign In to chott","Đăng nhập thành viên Chợ Trực Tuyến"
"Forgot Password?","Quên mật khẩu?"
"Have not account?","Bạn chưa có tài khoản?"
"Your account","Tài khoản của bạn"
"* When continue, you confirm to agree with <a href='%1' target='_blank'>Privacy and policy</a> of chotructuyen.co","* Bạn xác nhận đồng ý với <a href='%1'>Điều khoản sử dụng</a> và các chính sách của chotructuyen.co"
"Back","Quay lại"
"Input Authenticate Code","Nhập mã xác thực"
"Complete Register","Hoàn tất đăng ký"
"Have %1 reviews","%1 lần đánh giá"
"No review on product","Chưa có đánh giá"
"Gift: ", "Quà tặng: "
"Gift", "Quà tặng"
"Show more specifications","Xem thêm thông số kỹ thuật"
"Comment of you","Đánh giá của bạn"
"Show description more","Xem thêm mô tả sản phẩm"
"Show description less","Ẩn bớt nội dung"
"Full name of buyer", "Họ và tên người mua hàng"
"Full name of receiver", "Họ và tên người nhận hàng"
"Complete The Place Order", "Hoàn tất đặt hàng"
"Vat Invoice Required", "Yêu cầu xuất hoá đơn"
"number of reviews", "lần đánh giá"
"Others receive the products", "Nhận hàng là người khác"
"Address", "Địa chỉ"
"Invoice information", "Thông tin xuất hoá đơn"
"Contact information", "Thông tin người liên lạc"
"Full name and contact person", "Họ và tên người liên lạc"
"Required Information", "Thông tin bắt buộc"
"Enter your email to receive electronic invoices", "nhận hóa đơn điện tử"
"Enter the company address", "Nhập địa chỉ công ty"
"Notes for delivery staff", "cho nhân viên giao hàng"
"/for one", "/cái"
"Into Money: ", "Thành tiền: "
"VAT code", "Mã số thuế"
"Company address", "Địa chỉ công ty"
"Company name", "Tên công ty"
"Payment Method", "Hình thức thanh toán"
"Account Name: CHO TRUC TUYEN CORPORATION", "Tên Tài khoản: CÔNG TY CỔ PHẦN CHỢ TRỰC TUYẾN"
"Stored Payment Methods","Hình thức thanh toán"
"Order here","Mua ngay"
"Add to Cart","Thêm vào giỏ"
"Load more review","Xem thêm >>"
"PLS Login for review!", "Đăng nhập để đánh giá"
"View all news", "Xem tất cả bài viết"
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ hàng"
"Show now","Mua ngay"
"Add to Cart Icon","Thêm vào giỏ hàng"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Bạn đã thêm %1 vào <a href=""%2"">giỏ mua hàng của bạn</a>."
"Excute Checkout", "Tiến hành đặt hàng"
"Order date:","Ngày đặt hàng:"
"Place order", "Đặt hàng"
"Max Delivery Dates Contact","Liên hệ"
"Please leave your information, we will contact you when goods are available","Vui lòng để lại thông tin, chúng tôi sẽ liên hệ khi có hàng"
"Label name customer","Họ và tên khách hàng"
"Show less sort desctiption","Thu gọn"
"Show more sort desctiption","Xem thêm đặc điểm nổi bật"
"Contact customer when available","Liên hệ khi có hàng được gửi lúc"
"Name product","Tên sản phẩm"
"Name customer","Tên khách hàng"
"Attribute Selected Customer","Đặc điểm"
"Telephone customer","Số điện thoại"
"Date send","Ngày gửi"
"Input Name customer","Nhập họ và tên"
"Input Phone Number", "Nhập số điện thoại"
"Search history orders","Tìm lịch sử đơn hàng"
"From date","Từ ngày"
"To date","Đến ngày"
"Choose date","Chọn thời gian"
"Delete history search","Xoá tìm kiếm"
"Form Contact Price","Liên hệ báo giá"
"Contact customers to quote products","Liên hệ khách hàng để báo giá sản phẩm được gửi lúc"
"Orders and Returns","Theo dõi đơn hàng"
"Reply","Trả lời"
"Like","Thích"
"Response from store","Phản hồi từ chotructuyen.co"
"year","năm"
"month","tháng"
"week","tuần"
"day","ngày"
"hour","giờ"
"minute","phút"
"second","giây"
" ago"," trước"
"Talk about why you like this review, or ask a question.","Nhập nội dung bình luận của bạn."
"Add Comment","Bình luận"
"Comment at ","Bình luận "
"%1 year(s) ago","%1 năm trước"
"%1 month(s) ago","%1 tháng trước"
"%1 day(s) ago","%1 ngày trước"
"%1 hour(s) ago","%1 giờ trước"
"%1 minute(s) ago","%1 phút trước"
"%1 second(s) ago","%1 giây trước"
"recently","ngay lúc này"
"We will contact you when in stock","Chúng tôi sẽ liên hệ khi có hàng"
"The system is currently failing, please resend later","Hệ thống đang bị lỗi, quý khách vui lòng gửi lại"
"Review Products:","Nhận xét của bạn về sản phẩm:"
"Top Brands","Thương Hiệu"
"Top brands","Thương hiệu"
"Please leave your information, we will contact you for a quote","Vui lòng để lại thông tin, chúng tôi sẽ liên hệ báo giá"
"We will contact you for a quote soon","Chúng tôi sẽ liên hệ báo giá sớm"
"History order status filter","Trạng thái đơn hàng"
"Order canceled","Đơn hàng đã hủy"
"Savings Amount", "Tiết kiệm"
"This is the required case","Đây là trường bắt buộc"
"Show less specifications","Ẩn bớt thông số kĩ thuật"
"Original Total", "Tổng tiền hàng"
"Contact when stock is available", "Liên hệ khi có hàng"
"Quantity x Price","Số lượng x đơn giá"
"Your price quote","Báo giá của bạn"
"Code of counselor introduced","Mã nhân viên tư vấn giới thiệu: "
"Affiliate Code","Mã cộng tác viên"
"Account Affiliate","Tài khoản Cộng tác viên"
"Track your account","Theo dõi tài khoản"
"Affiliate","Cộng tác viên"
"Affiliate Code Short","Mã CTV"
"Margin limit","Hạn mức ký quỹ"
"Subgroup of affiliate","Phân nhóm CTV"
"Registration date","Ngày đăng ký tham gia"
"Official date to become affiliate","Ngày chính thức trở thành CTV"
"Date of most recent subgroup change","Ngày thay đổi phân nhóm gần nhất"
"Date of most recent order","Ngày lập đơn hàng gần nhất"
"Official date to become affiliate","Ngày chính thức trở thành CTV"
"The total amount of money in the account","Tổng số tiền trong tài khoản"
"Available balances","Số dư khả dụng"
"Withdraw money","Rút tiền"
"Items affiliate","Hạng mục"
"Revenue","Doanh thu"
"Order number","Số đơn hàng"
"Commission amount","Hoa hồng"
"Control down","Điều chỉnh giảm"
"Information Customer","Thông tin khách hàng"
"Billing Information","Người mua"
"Shipping Information","Người nhận hàng"
"Order summary success","Tóm tắt đơn hàng"
